ID,batter,non-striker,batsman_run
1304052,SS Iyer,N Rana,1
1304052,SS Iyer,SP Narine,1
1304052,SW Billings,AD Russell,4
1304052,SW Billings,SP Narine,10
1304052,Shahbaz Ahmed,SE Rutherford,27
1304052,TG Southee,AD Russell,0
1304052,TG Southee,UT Yadav,1
1304052,UT Yadav,CV Varun,17
1304052,UT Yadav,TG Southee,1
1304052,V Kohli,DJ Willey,0
1304052,V Kohli,F du Plessis,12
1304052,VR Iyer,AM Rahane,10
1304053,A Badoni,E Lewis,19
1304053,AT Rayudu,S Dube,27
1304053,D Pretorius,MS Dhoni,0
1304053,DJ Bravo,MS Dhoni,1
1304053,DJ Hooda,E Lewis,13
1304053,E Lewis,A Badoni,16
1304053,E Lewis,DJ Hooda,16
1304053,E Lewis,Q de Kock,23
1304053,KL Rahul,Q de Kock,40
1304053,MK Pandey,Q de Kock,5
1304053,MM Ali,RV Uthappa,27
1304053,MM Ali,S Dube,8
1304053,MS Dhoni,DJ Bravo,6
1304053,MS Dhoni,RA Jadeja,10
1304053,Q de Kock,E Lewis,9
1304053,Q de Kock,KL Rahul,52
1304053,RA Jadeja,MS Dhoni,4
1304053,RA Jadeja,S Dube,13
1304053,RD Gaikwad,RV Uthappa,1
1304053,RV Uthappa,MM Ali,29
1304053,RV Uthappa,RD Gaikwad,21
1304053,S Dube,AT Rayudu,25
1304053,S Dube,MM Ali,14
1304053,S Dube,RA Jadeja,10
1304054,AD Russell,SW Billings,70
1304054,AM Rahane,VR Iyer,12
1304054,Arshdeep Singh,OF Smith,0
1304054,Harpreet Brar,M Shahrukh Khan,8
1304054,Harpreet Brar,OF Smith,6
1304054,K Rabada,OF Smith,25
1304054,LS Livingstone,RA Bawa,9
1304054,LS Livingstone,S Dhawan,10
1304054,M Shahrukh Khan,Harpreet Brar,0
1304054,MA Agarwal,S Dhawan,1
1304054,N Rana,SW Billings,0
1304054,OF Smith,Harpreet Brar,2
1304054,OF Smith,K Rabada,7
1304054,PBB Rajapaksa,S Dhawan,31
1304054,RA Bawa,LS Livingstone,5
1304054,RA Bawa,M Shahrukh Khan,6
1304054,RD Chahar,OF Smith,0
1304054,S Dhawan,LS Livingstone,6
1304054,S Dhawan,MA Agarwal,1
1304054,S Dhawan,PBB Rajapaksa,9
1304054,SS Iyer,SW Billings,5
1304054,SS Iyer,VR Iyer,21
1304054,SW Billings,AD Russell,16
1304054,SW Billings,SS Iyer,8
1304054,VR Iyer,AM Rahane,1
1304054,VR Iyer,SS Iyer,2
1304055,Anmolpreet Singh,Ishan Kishan,5
1304055,D Padikkal,JC Buttler,7
1304055,DR Sams,KA Pollard,0
1304055,Ishan Kishan,Anmolpreet Singh,19
1304055,Ishan Kishan,RG Sharma,4
1304055,Ishan Kishan,Tilak Varma,31
1304055,JC Buttler,D Padikkal,28
1304055,JC Buttler,R Parag,0
1304055,JC Buttler,SO Hetmyer,11
1304055,JC Buttler,SV Samson,49
1304055,JC Buttler,YBK Jaiswal,12
1304055,JJ Bumrah,KA Pollard,0
1304055,KA Pollard,JJ Bumrah,4
1304055,KA Pollard,M Ashwin,18
1304055,KA Pollard,TH David,0
1304055,KA Pollard,Tilak Varma,0
1304055,M Ashwin,KA Pollard,6
1304055,Navdeep Saini,R Parag,2
1304055,R Ashwin,R Parag,1
1304055,R Parag,JC Buttler,0
1304055,R Parag,Navdeep Saini,1
1304055,R Parag,TA Boult,4
1304055,RG Sharma,Ishan Kishan,10
1304055,SO Hetmyer,JC Buttler,35
1304055,SV Samson,JC Buttler,30
1304055,TA Boult,R Parag,1
1304055,TH David,KA Pollard,1
1304055,Tilak Varma,Ishan Kishan,49
1304055,Tilak Varma,KA Pollard,12
1304055,YBK Jaiswal,JC Buttler,1
1304056,A Manohar,DA Miller,1
1304056,AR Patel,R Powell,8
1304056,DA Miller,A Manohar,1
1304056,DA Miller,R Tewatia,8
1304056,DA Miller,Shubman Gill,11
1304056,HH Pandya,Shubman Gill,31
1304056,KK Ahmed,Kuldeep Yadav,0
1304056,Kuldeep Yadav,Mustafizur Rahman,11
1304056,Kuldeep Yadav,R Powell,3
1304056,Lalit Yadav,RR Pant,25
1304056,MS Wade,Shubman Gill,1
1304056,Mandeep Singh,PP Shaw,18
1304056,Mandeep Singh,RR Pant,0
1304056,Mustafizur Rahman,Kuldeep Yadav,3
1304056,PP Shaw,Mandeep Singh,5
1304056,PP Shaw,TL Seifert,5
1304056,R Powell,Kuldeep Yadav,6
1304056,R Powell,RR Pant,13
1304056,R Powell,SN Thakur,1
1304056,R Tewatia,DA Miller,14
1304056,RR Pant,Lalit Yadav,32
1304056,RR Pant,Mandeep Singh,1
1304056,RR Pant,R Powell,10
1304056,Rashid Khan,DA Miller,0
1304056,SN Thakur,R Powell,2
1304056,Shubman Gill,DA Miller,24
1304056,Shubman Gill,HH Pandya,34
1304056,Shubman Gill,MS Wade,1
1304056,Shubman Gill,V Shankar,25
1304056,TL Seifert,PP Shaw,3
1304056,V Shankar,Shubman Gill,13
1304057,AT Rayudu,MM Ali,7
